pant_description,shirt_description
Slim-fit navy blue trousers,White and blue checkered shirt
Loose-fitting beige cargo pants,Black t-shirt with graphic print
Classic black dress pants,Light blue button-up shirt
Skinny-fit grey joggers,Black hoodie
Khaki chino pants,Green polo shirt
Tailored dark brown dress pants,Striped blue and white oxford shirt
Relaxed-fit denim jeans,Plain white t-shirt
Slim-fit olive green chinos,Black leather jacket
Tapered light wash jeans,Red and black plaid flannel shirt
Navy blue cargo shorts,White tank top
Slim-fit black pants,Gray henley shirt
Loose-fit dark blue jeans,Black leather jacket
Skinny-fit brown chinos,Gray crewneck sweatshirt
Tapered olive green cargo pants,White button-up shirt
Loose-fit light wash jeans,Black and white striped t-shirt
Slim-fit beige chinos,Black polo shirt
Classic navy blue dress pants,Light pink button-up shirt
Skinny-fit black jeans,Gray hoodie
Tapered khaki cargo pants,Green plaid flannel shirt
Relaxed-fit light gray sweatpants,Black tank top
Slim-fit dark green chinos,White and blue striped polo shirt
Loose-fit black cargo pants,Red and black checkered shirt
Classic brown dress pants,Blue and white checkered shirt
Skinny-fit navy blue chinos,White t-shirt with graphic print
Tapered dark wash jeans,Gray and white striped t-shirt
Slim-fit gray chinos,Black button-up shirt
Loose-fit khaki pants,Light blue polo shirt
Tailored black dress pants,Gray blazer
Skinny-fit olive green jeans,Black turtleneck sweater
Tapered dark green cargo pants,Gray sweatshirt
Relaxed-fit light wash jeans,White and black striped t-shirt
Slim-fit black chinos,Red polo shirt
Classic gray dress pants,White button-up shirt
Skinny-fit beige chinos,Black t-shirt
Tapered navy blue cargo pants,Blue and white plaid flannel shirt
Loose-fit olive green pants,Black hoodie
Slim-fit light blue chinos,White and black checkered shirt
Classic black jeans,Gray crewneck sweatshirt
Skinny-fit khaki chinos,Blue button-up shirt
Tapered light gray cargo pants,Red and black striped t-shirt
Relaxed-fit dark blue jeans,Black tank top
Slim-fit dark gray chinos,White polo shirt
Loose-fit navy blue pants,Gray t-shirt
Tailored charcoal gray dress pants,White dress shirt
Skinny-fit brown jeans,Black leather jacket
Tapered beige cargo pants,Light blue polo shirt
Relaxed-fit black sweatpants,White tank top
Slim-fit dark brown chinos,Gray v-neck sweater
Loose-fit gray pants,Green polo shirt
Classic navy blue jeans,Blue and white striped t-shirt
Skinny-fit black chinos,White t-shirt
Tapered khaki cargo pants,Black hoodie
Relaxed-fit olive green sweatpants,Red and black checkered shirt
Slim-fit light gray chinos,Black button-up shirt
Loose-fit black pants,White t-shirt with graphic print
Classic brown dress pants,White and blue striped shirt
Skinny-fit navy blue chinos,Gray hoodie
Tapered dark wash jeans,White tank top
Slim-fit beige chinos,Green polo shirt
Loose-fit dark blue jeans,Gray crewneck sweatshirt
Tailored black dress pants,Black turtleneck sweater
Skinny-fit olive green chinos,Red and black plaid
Slim-fit beige chinos,Blue and white vertical striped shirt
Straight leg dark wash jeans,Black and grey graphic t-shirt
Navy blue dress pants,Light pink button-up shirt
Loose-fit khaki cargo pants,Green and blue plaid flannel shirt
Skinny-fit black jeans,Red and white striped polo shirt
Light grey tailored trousers,Black long-sleeved button-up shirt
Olive green cargo shorts,Light blue short-sleeved button-up shirt
White linen pants,Light green polo shirt
Slim-fit black chinos,White linen short-sleeved button-up shirt
Dark brown corduroy pants,Black and white checkered shirt
Navy blue joggers,White t-shirt with printed design
Slim-fit charcoal grey dress pants,Light purple button-up shirt
Tapered olive green chinos,Navy blue short-sleeved button-up shirt
Relaxed-fit light wash denim shorts,Red and white striped t-shirt
Straight leg black dress pants,Light blue and white gingham shirt
Skinny-fit grey chinos,Black short-sleeved button-up shirt
Loose-fit tan cargo pants,Blue and white plaid shirt
Dark wash denim jacket,White t-shirt with printed design
Slim-fit dark grey trousers,Green long-sleeved button-up shirt
White denim shorts,Black and white striped tank top
Slim-fit navy blue chinos,Light blue short-sleeved button-up shirt
